Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-05-18,320.76001,322,319.799988,320.450012,282.412506,1013900,60
2018-05-21,322.5,324.529999,321.160004,324.279999,285.78775,1001500,61
2018-05-22,323.26001,323.600006,317.040009,317.130005,279.486481,1501700,62
2018-05-23,315.829987,325.529999,314.130005,325.320007,286.704437,1603400,63
2018-05-24,324.660004,329.130005,323.339996,326.350006,287.612122,1211900,64
2018-05-25,326,327.220001,319.859985,320.799988,282.720886,1020300,65
2018-05-29,319.670013,320.690002,315.359985,317.200012,279.548248,1159800,66
2018-05-30,319.029999,321.809998,317.160004,321.040009,282.932343,901400,67
2018-05-31,319.23999,320.279999,314.470001,314.540009,278.941681,1452700,68
2018-06-01,316.920013,317.799988,315.470001,316.630005,280.795197,886900,69
2018-06-04,317.109985,319.25,316.220001,318.170013,282.160858,857000,70
2018-06-05,318.109985,321.23999,317.48999,320.019989,283.801483,873100,71
2018-06-06,320.769989,321.880005,318.51001,319.910004,283.703949,1083400,72
2018-06-07,320.5,322.149994,318.940002,321.950012,285.513062,1088200,73
2018-06-08,321.730011,322.600006,318.100006,322.309998,285.832336,1260300,74
2018-06-11,322.119995,322.619995,319.160004,319.299988,283.162903,911100,75
2018-06-12,319.630005,320.029999,311.25,315.160004,279.491547,1743100,76
2018-06-13,314.670013,317.799988,312.670013,314.350006,278.773132,2014200,77
2018-06-14,314.540009,315.799988,310.01001,310.589996,275.43866,1396200,78
2018-06-15,309.619995,310.970001,306.339996,310.140015,275.039642,1786300,79
2018-06-18,307.380005,310,306,309.519989,274.489777,1259300,80
2018-06-19,306.720001,307.630005,301.649994,302.519989,268.282074,1821600,81
2018-06-20,302.369995,304.970001,301.230011,302.859985,268.583588,1620800,82
2018-06-21,302.649994,302.859985,298.100006,300.380005,266.384247,1517500,83
2018-06-22,301.380005,301.809998,298.690002,299.380005,265.497437,1364200,84
2018-06-25,297.350006,303.329987,296.070007,298.769989,264.956482,1944800,85
2018-06-26,298.809998,300.429993,297.079987,299.079987,265.231384,1670800,86
2018-06-27,299.390015,302.119995,294.540009,294.779999,261.41806,1523900,87
2018-06-28,295,296.709991,291.519989,295.23999,261.825928,1424300,88
2018-06-29,297.480011,299.980011,295.26001,295.429993,261.994476,1267800,89
2018-07-02,294.170013,299.299988,292.320007,299.119995,265.266846,977900,90
2018-07-03,300,302.589996,298.619995,299.459991,265.56842,651000,91
2018-07-05,300.279999,303.160004,297.190002,299.190002,265.328857,986300,92
2018-07-06,298.410004,301.51001,296.209991,299.190002,265.328857,1103500,93
2018-07-09,301,307.470001,300.359985,306.480011,271.793854,1244400,94
2018-07-10,308.109985,310.910004,307.209991,308.829987,273.877869,1525500,95
2018-07-11,307.829987,309.380005,305.929993,306.579987,271.882507,896200,96
2018-07-12,309.399994,314.470001,308.799988,313.309998,277.850891,1283300,97
2018-07-13,313.679993,319.5,313.519989,318.369995,282.338226,1662500,98
2018-07-16,319.380005,323.380005,317.579987,319.049988,282.941284,1303400,99
2018-07-17,319.890015,320.980011,316.119995,317.5,281.566742,868200,100
2018-07-18,317.709991,320.579987,316.5,319.769989,283.579681,860400,101
2018-07-19,319.299988,320.859985,318.179993,319.600006,283.429047,759900,102
2018-07-20,318.350006,322.850006,317.440002,322.549988,286.045166,1563900,103
2018-07-23,322.549988,323.5,316.790009,318.329987,282.302734,1585300,104
2018-07-24,325,329.649994,313,322.570007,286.062836,3253400,105
2018-07-25,323.049988,324.970001,316.670013,324.359985,287.65033,2104600,106
2018-07-26,324.829987,325.869995,321.170013,322.940002,286.391022,2011800,107
2018-07-27,324.399994,325.140015,321.790009,324.089996,287.410797,1009900,108
2018-07-30,324.100006,325.98999,319.619995,320.109985,283.881287,1270500,109
2018-07-31,321.380005,326.429993,321.380005,326.100006,289.19339,986300,110
2018-08-01,325.589996,326.070007,322.570007,324.929993,288.155792,1392200,111
2018-08-02,322.529999,323.149994,320.23999,322.019989,285.575165,820400,112
2018-08-03,322.619995,322.619995,319.109985,320.549988,284.271515,945400,113
2018-08-06,318.609985,318.609985,313.679993,316.920013,281.052338,1736700,114
2018-08-07,317.23999,318.23999,313.579987,317.410004,281.486847,1088500,115
2018-08-08,317.5,317.779999,314.209991,315.309998,279.624542,922600,116
2018-08-09,314.790009,316.5,312.670013,315.709991,279.979248,1048200,117
2018-08-10,314.899994,314.899994,311.390015,313.119995,277.682404,1081900,118
2018-08-13,312.51001,315.26001,312,313.640015,278.143494,790300,119
2018-08-14,314.890015,320.209991,314.630005,318.589996,282.533417,974500,120
2018-08-15,318.369995,318.910004,314.440002,317.700012,281.744049,1321400,121
2018-08-16,320,326.619995,319.809998,325.859985,288.98053,1195200,122
2018-08-17,325.859985,327.420013,324.720001,325.230011,288.421844,1397400,123
2018-08-20,325.26001,325.970001,323.809998,324.220001,287.526184,877400,124
2018-08-21,324.399994,325.410004,323.130005,324.390015,287.67691,1167600,125
2018-08-22,324.049988,324.519989,321.799988,321.920013,285.48642,690600,126
2018-08-23,322.079987,322.149994,318.869995,320.01001,283.792664,717700,127
2018-08-24,320,321.390015,318.720001,321.290009,284.927734,773200,128
